Marca temporal,Ciclo cursante,Edad ,¿Qué carrera estudias?,Género,¿Cuántos cursos lleva?,¿Cuanto tiempo en horas estudia al día?,"Cuál considera que ha sido su nivel de ansiedad, en promedio, antes de rendir cualquier evaluación","Cuál considera que ha sido su nivel de ansiedad, en promedio, después de rendir cualquier evaluación",¿Cuáles han sido sus épocas de mayor ansiedad?,Escala de síntomas físicos [Sensación de angustia o aprensión],"Escala de síntomas físicos [Dificultad para estar quieto, intranquilidad]",Escala de síntomas físicos [Aumento de frecuencia cardiaca (palpitaciones) sin enfermedad conocida que lo justifique],"Escala de síntomas físicos [Fatiga, especialmente importante al final del día]","Escala de síntomas físicos [Alteraciones en el sueño; tardas en quedarte dormido, te despiertas varias veces o despiertas antes de lo previsto]","Escala de síntomas físicos [Sensación de tensión muscular que puede ir acompañada de dolor en determinadas partes de tu cuerpo (cuello, espalda, cabeza, etcétera)]",Escala de síntomas cognitivos [Dificultad para concentrarte],Escala de síntomas cognitivos [Sensación de bloqueo mental],Escala de síntomas cognitivos [Anticipación de acontecimientos negativos. Catastrofismo],Escala de síntomas cognitivos [Falta de memoria (dificultad para recordar cosas)],Escala de síntomas cognitivos [Pensamientos o imágenes desagradables],Escala de síntomas cognitivos [Dificultad para tomar decisiones (por ejemplo “das vueltas a la cabeza” sin llegar a decidirte)],"Escala de síntomas comportamentales para combatir la ansiedad [Fumas, comes o bebes para calmar tu ansiedad]",Escala de síntomas comportamentales para combatir la ansiedad [Evitas o escapas de determinadas situaciones],"Escala de síntomas comportamentales para combatir la ansiedad [Haces movimientos repetitivos (tocarte el pelo, temblor de piernas)]",Escala de síntomas comportamentales para combatir la ansiedad [Te mueves más de lo habitual],Escala de síntomas comportamentales para combatir la ansiedad [Movimientos torpes (por ejemplo se te caen las cosas)],Escala de síntomas comportamentales para combatir la ansiedad [Llanto para aliviar tu malestar],¿Algo dentro de la universidad te cause demasiada ansiedad?,Ha buscado algún tipo de ayuda sobre cómo tratar la ansiedad,"Cuál considera que ha sido su nivel de estrés, en promedio, antes de rendir cualquier evaluación","Cuál considera que ha sido su nivel de estrés, en promedio, después de rendir cualquier evaluación",Cuáles han sido sus épocas de mayor estrés,Escala de síntomas físicos y cognitivos  [Te sientes cansado/a],Escala de síntomas físicos y cognitivos  [Se te hace difícil relajarte o sentirte tranquilo/a],Escala de síntomas físicos y cognitivos  [Se te hace difícil tomar decisiones],Escala de síntomas físicos y cognitivos  [Tienes problemas para pensar con claridad],Escala de síntomas físicos y cognitivos  [Piensas en tus problemas una y otra vez durante el día],Escala de síntomas físicos y cognitivos  [Comes demasiado o muy poco],Escala de síntomas físicos y cognitivos  [Dificultad para conciliar el sueño],"Escala de síntomas físicos y cognitivos  [Dolor de espalda,cuello u otro dolor relacionado con la tensión]",Escala de síntomas físicos y cognitivos  [Uso más seguido de cafeína o nicotina de lo habitual],Escala de síntomas físicos y cognitivos  [Tics nerviosos],Escala de síntomas físicos y cognitivos  [Malestar estomacal],Escala de síntomas físicos y cognitivos  [Irritación con facilidad],Escala de síntomas físicos y cognitivos  [Cambios de humor y sensibilidad],Escala de síntomas físicos y cognitivos  [Dificultad al concentrarse],Escala de síntomas físicos y cognitivos  [Uso de alcohol o drogas para afrontar problemas],Escala de síntomas físicos y cognitivos  [Tu desempeño ha disminuido y presentas problemas para completar tus tareas],Escala de síntomas físicos y cognitivos  [Tendencias a sudar o palpitaciones],Escala de síntomas físicos y cognitivos  [Tentaciones fuertes de no levantarse por la mañana],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que no podía afrontar todas las cosas que tenía que hacer?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia se ha sentido al control de todo?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha estado enfadado porque las cosas que le han ocurrido estaban fuera de su control?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha podido controlar la forma de pasar el tiempo?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que las dificultades se acumulan tanto que no puede superarlas?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha estado afectado por algo que ha ocurrido inesperadamente?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha manejado con éxito los pequeños problemas irritantes de la vida?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que ha afrontado efectivamente los cambios importantes que han estado ocurriendo en su vida?],¿Algo dentro de la universidad que te cause estrés?,Ha buscado algún tipo de ayuda sobre cómo tratar el estrés
21/09/2022 14:20:14,1,22,Ingeniería Química,Femenino,7,2,9,10,15,Casi todos los días,Casi todos los días,A menudo,En alguna ocasión,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,En alguna ocasión,Casi todos los días,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,Mucho ruido,Sí,9,10,Exámenes finales,Siempre,Siempre,Siempre,Siempre,Siempre,Frecuentemente,Frecuentemente,Siempre,Siempre,Aveces,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Nunca,Siempre,Siempre,Frecuentemente,Muy a menudo,Casi nunca,Muy a menudo,Casi nunca,Muy a menudo,Muy a menudo,A menudo,A menudo,Demasiado frío,Sí
21/09/2022 14:20:29,6,21,Ingeniería Industrial,Masculino,4,3.5,9,5,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,Casi todos los días,En alguna ocasión,Nunca,En alguna ocasión,A menudo,Nunca,Nunca,En alguna ocasión,En alguna ocasión,A menudo,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Demasiadas personas,No,9,9,Exámenes parciales,Aveces,Aveces,Nunca,Nunca,Nunca,,Aveces,Seguido,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Casi nunca,Nunca,Casi nunca,,Nunca,Nunca,De vez en cuando,Casi nunca,Época de exámenes,No
21/09/2022 14:21:55,1,19,Ingeniería Química,Femenino,6,4,5,7,7,En alguna ocasión,En alguna ocasión,Nunca,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,No tener espacio para estudiar,No,8,4,Semana de Entrega de Notas Finales,Siempre,Seguido,Seguido,Seguido,Seguido,Aveces,Aveces,Seguido,Frecuentemente,Nunca,Aveces,Aveces,Seguido,Aveces,Nunca,Aveces,Seguido,Siempre,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,A menudo,A menudo,No tener donde descansar,No
21/09/2022 14:22:48,8,22,Ingeniería Electrónica,Masculino,4,2,8,8,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,A menudo,En alguna ocasión,Nunca,Que no respeten tu espacio personal,No,7,8,Semana de Entrega de Notas Finales,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Aveces,,Nunca,Seguido,Aveces,Aveces,De vez en cuando,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,A menudo,De vez en cuando,No tener donde descansar,No
21/09/2022 14:23:09,4,18,Ingeniería Mecánica,Masculino,5,1.5,8,3,Semana de Entrega de Notas Finales,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Casi todos los días,En alguna ocasión,En alguna ocasión,A menudo,Nunca,A menudo,Nunca,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Nunca,Que no respeten tu espacio personal,No,8,8,Exámenes parciales,Frecuentemente,Seguido,Seguido,Seguido,Seguido,Seguido,Frecuentemente,Seguido,Seguido,Frecuentemente,Seguido,Seguido,Seguido,Siempre,Nunca,Aveces,Aveces,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Mal olor,No
21/09/2022 14:24:48,4,20,Ingeniería Mecatrónica,Masculino,6,2.5,8,6,Exámenes finales,A menudo,En alguna ocasión,Nunca,A menudo,En alguna ocasión,Nunca,Casi todos los días,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Nunca,Nunca,Nunca,No tener espacio para estudiar,No,8,6,Exámenes finales,Seguido,Aveces,Seguido,Aveces,Aveces,Aveces,Seguido,Frecuentemente,Seguido,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Nunca,Aveces,Nunca,Casi nunca,De vez en cuando,Casi nunca,Nunca,De vez en cuando,Casi nunca,Casi nunca,A menudo,Época de exámenes,No
21/09/2022 14:25:14,3,18,Ingeniería Industrial,Masculino,5,1,10,10,Exámenes finales,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,Nunca,Nunca,Nunca,Nunca,Nunca,A menudo,No tener espacio para estudiar,Sí,9,8,Entrega de notas parciales,Aveces,Aveces,Aveces,Seguido,Seguido,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,No tener espacio donde comer (comedor lleno),Sí
21/09/2022 14:25:35,2,22,Ciencia de Datos,Masculino,6,2.5,10,10,Exámenes finales,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,A menudo,Casi todos los días,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,Nunca,Mucha ventilación,No,10,10,Exámenes finales,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,No tener donde descansar,No
21/09/2022 14:25:44,4,19,Ingeniería Industrial,Femenino,6,2.5,10,10,Exámenes parciales,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,Nunca,Nunca,A menudo,En alguna ocasión,Casi todos los días,Que no respeten tu espacio personal,No,5,1,Exámenes parciales,Aveces,Nunca,Siempre,Aveces,Seguido,Nunca,Aveces,Aveces,Nunca,Nunca,Siempre,Aveces,Aveces,Seguido,Nunca,Aveces,Siempre,Seguido,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,Muy a menudo,Muy a menudo,Muy a menudo,Época de exámenes,No
21/09/2022 14:28:16,3,19,Ingeniería Civil,Femenino,6,2,10,10,Exámenes finales,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,A menudo,No tener espacio para estudiar,Sí,9,9,Semana de Entrega de Notas Finales,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Frecuentemente,Frecuentemente,Siempre,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,Muy a menudo,A menudo,A menudo,De vez en cuando,Época de exámenes,Sí
21/09/2022 14:28:26,7,21,Ingeniería Electrónica,Masculino,4,4,5,5,Exámenes finales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,No,5,5,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:28:44,4,22,Ingeniería Civil,Femenino,6,3.5,5,7,Exámenes parciales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,No tener espacio para estudiar,No,5,4,Semana de Entrega de Notas Finales,Nunca,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Aveces,Aveces,Nunca,Nunca,Nunca,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,Casi nunca,Nunca,Casi nunca,Nunca,Casi nunca,Nunca,Casi nunca,Nunca,Época de exámenes,No
21/09/2022 14:29:15,2,18,Ciencia de Datos,Masculino,6,2,7,7,Semana de Entrega de Notas Finales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,No tener espacio para estudiar,Sí,7,7,7,Aveces,Aveces,Nunca,Nunca,Seguido,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Casi nunca,A menudo,De vez en cuando,Casi nunca,De vez en cuando,Nunca,Casi nunca,De vez en cuando,Demasiado frío,Sí
21/09/2022 14:31:44,4,19,Ciencia de la computación,Masculino,4,2.5,7,10,Entrega de notas parciales,En alguna ocasión,Casi todos los días,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,Sí,10,7,Exámenes finales,Aveces,Aveces,Seguido,Aveces,Seguido,Seguido,Seguido,Seguido,Aveces,Seguido,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Seguido,Aveces,A menudo,De vez en cuando,A menudo,A menudo,De vez en cuando,A menudo,A menudo,A menudo,Grabaciones,Sí
21/09/2022 14:32:27,1,17,Ingeniería Civil,Masculino,6,4,5,9,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,Nunca,A menudo,A menudo,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,Nunca,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Nunca,Que no respeten tu espacio personal,No,3,3,Entrega de notas parciales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Casi nunca,Casi nunca,Nunca,Casi nunca,Nunca,Casi nunca,Casi nunca,Época de exámenes,No
21/09/2022 14:32:56,5,21,Ingeniería Civil,Masculino,7,5.5,4,6,Exámenes parciales,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,Nunca,No tener espacio para estudiar,No,6,5,Semana de Entrega de Notas Finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Seguido,Nunca,Nunca,Nunca,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:33:13,4,19,Ingeniería Industrial,Masculino,6,2.5,9,5,7,A menudo,Casi todos los días,Nunca,Nunca,Nunca,En alguna ocasión,Casi todos los días,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Demasiadas personas,No,8,6,Exámenes finales,Aveces,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Seguido,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Seguido,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Época de exámenes,No
21/09/2022 14:34:41,2,17,Ingeniería Civil,Femenino,6,0.5,9,9,Exámenes parciales,A menudo,En alguna ocasión,En alguna ocasión,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,A menudo,Nunca,En alguna ocasión,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Casi todos los días,No tener espacio para estudiar,No,10,9,1,Frecuentemente,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Frecuentemente,Seguido,Aveces,Aveces,Aveces,Frecuentemente,Nunca,Seguido,Aveces,Aveces,A menudo,De vez en cuando,A menudo,De vez en cuando,Muy a menudo,A menudo,A menudo,A menudo,Época de exámenes,Sí
21/09/2022 14:34:46,3,18,Ingeniería Civil,Masculino,6,2,10,10,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Que no respeten tu espacio personal,No,10,10,Exámenes parciales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Nunca,Aveces,Aveces,Nunca,Aveces,Aveces,Casi nunca,Casi nunca,Nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,No tener donde descansar,No
21/09/2022 14:35:05,2,19,Ingeniería Civil,Masculino,5,3,6,5,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,Nunca,Nunca,A menudo,Nunca,A menudo,Nunca,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Nunca,No tener espacio para estudiar,Sí,8,6,Exámenes finales,Seguido,Aveces,Seguido,Aveces,Seguido,Aveces,Aveces,Nunca,Nunca,Seguido,Nunca,Aveces,Frecuentemente,Frecuentemente,Nunca,Siempre,Nunca,Frecuentemente,A menudo,A menudo,De vez en cuando,De vez en cuando,,De vez en cuando,Casi nunca,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,Sí
21/09/2022 14:35:11,2,18,Ingeniería Civil,Masculino,7,3.5,8,4,Semana de Entrega de Notas Finales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,Nunca,A menudo,Nunca,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,No tener espacio para estudiar,No,9,4,Entrega de notas parciales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Aveces,Aveces,Aveces,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,Época de exámenes,No
21/09/2022 14:35:24,3,18,Ingeniería Mecatrónica,Masculino,4,2.5,7,7,Exámenes parciales,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,Mucho ruido,No,7,7,Exámenes finales,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,,Seguido,Aveces,Aveces,Casi nunca,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Mal olor,Sí
21/09/2022 14:35:25,2,17,Ingeniería Civil,Masculino,6,3,5,6,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Casi todos los días,En alguna ocasión,Nunca,Nunca,No tener espacio para estudiar,No,4,6,Semana de Entrega de Notas Finales,Aveces,Nunca,Aveces,Aveces,Aveces,Seguido,Seguido,Siempre,Siempre,Siempre,Aveces,Siempre,Aveces,Aveces,Nunca,Nunca,Aveces,Seguido,A menudo,Casi nunca,Casi nunca,Nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Demasiado frío,No
21/09/2022 14:35:30,2,17,Ingeniería Civil,Masculino,6,2.5,8,10,Exámenes finales,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Casi todos los días,A menudo,A menudo,A menudo,A menudo,Casi todos los días,A menudo,Casi todos los días,En alguna ocasión,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,En alguna ocasión,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,7,6,Exámenes finales,Aveces,Aveces,Aveces,Seguido,Siempre,Aveces,Siempre,Siempre,Siempre,Frecuentemente,Siempre,Siempre,Siempre,Seguido,Aveces,Frecuentemente,Frecuentemente,Frecuentemente,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,De vez en cuando,A menudo,A menudo,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:35:44,3,20,Ingeniería Química,Femenino,6,1.5,9,7,Exámenes finales,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,Casi todos los días,A menudo,A menudo,A menudo,Casi todos los días,Demasiadas personas,Sí,9,9,7,Aveces,Aveces,Aveces,Aveces,Seguido,Seguido,Aveces,Seguido,Nunca,Aveces,Aveces,Seguido,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,Demasiado frío,Sí
21/09/2022 14:35:45,2,17,Ingeniería Civil,Masculino,7,3,6,4,7,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,No tener espacio para estudiar,No,7,4,Entrega de notas parciales,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Seguido,Aveces,Aveces,Nunca,Aveces,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,A menudo,Demasiado frío,No
21/09/2022 14:36:11,2,17,Ingeniería Civil,Femenino,6,5,4,2,Exámenes finales,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Mucha ventilación,No,4,3,Exámenes parciales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Aveces,Aveces,Nunca,Aveces,Aveces,Nunca,Aveces,Nunca,Aveces,Casi nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Época de exámenes,No
21/09/2022 14:36:26,2,17,Ingeniería Civil,Femenino,5,5.5,3,8,Exámenes finales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Que no respeten tu espacio personal,No,4,1,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Nunca,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Casi nunca,Casi nunca,Nunca,Casi nunca,Nunca,Casi nunca,Época de exámenes,No
21/09/2022 14:36:41,1,17,Ingeniería Industrial,Femenino,6,1.5,10,10,Semana de Entrega de Notas Finales,Casi todos los días,Casi todos los días,En alguna ocasión,Casi todos los días,Casi todos los días,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Que no respeten tu espacio personal,Sí,10,10,7,Seguido,Seguido,Seguido,Aveces,Nunca,Seguido,Seguido,Seguido,Seguido,Seguido,Aveces,Seguido,Seguido,Seguido,Nunca,Nunca,Nunca,Seguido,De vez en cuando,Nunca,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Nunca,Casi nunca,Demasiado frío,No
21/09/2022 14:36:50,8,24,Ciencia de la computación,Masculino,4,1.5,10,8,Semana de Entrega de Notas Finales,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,A menudo,A menudo,En alguna ocasión,Casi todos los días,Nunca,En alguna ocasión,Casi todos los días,A menudo,En alguna ocasión,Nunca,Nunca,Nunca,No tener espacio para estudiar,No,10,8,Exámenes finales,Nunca,Frecuentemente,Seguido,Seguido,Frecuentemente,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,Seguido,Seguido,Seguido,Frecuentemente,Frecuentemente,Nunca,Frecuentemente,A menudo,A menudo,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,No
21/09/2022 14:38:19,3,21,Ingeniería Mecatrónica,Masculino,5,5,4,5,Exámenes parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Mucho ruido,No,3,3,Semana de Entrega de Notas Finales,Aveces,Aveces,Aveces,Aveces,Seguido,Seguido,Seguido,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Seguido,Nunca,Nunca,Nunca,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,Casi nunca,De vez en cuando,Época de exámenes,No
