Marca temporal,Género de sexo,Edad,Orientación Sexual [Opciones],Carrera ,¿Ciclo en el que te encuentras?,Zona de Residencia,Económicamente activo?(Si laboras),¿Has sido o has sentido acoso dentro de la universidad por algún miembro de la comunidad? ,¿A qué edad sucedió este hecho?,¿En qué año ocurrió este hecho?,¿En qué circunstancia ocurrió este hecho?,¿Cuántas veces han ocurrido estos hechos similares a tu persona en el campus?,¿Cómo fue la agresión a tu persona?,¿Cuál fue tu reacción cuando ocurrió este hecho?,¿Lo denunciaste o se lo comentaste a alguien?,¿Algún estudiante o miembro de la universidad te ha acosad@ fuera de la institución?,¿A qué edad sucedió este hecho?,¿En qué año ocurrió este hecho?,¿Dónde ocurrió este hecho?,¿Cuántas veces has sido acosad@ fuera del campus?,¿De qué manera te han acosado?,¿ Cuál fue tu reacción cuando ocurrió este hecho?,¿Has vuelto ha interactuar con tu agresor?,¿Consideras que este hecho fue aislado o previsto por el agresor?,¿Lo denunciaste o se lo comentaste a alguien?,¿Porque no denunciaste este hecho?,¿Crees que tu denuncia no tendría ningún valor?,¿A qué entorno social pertenece el acosador en tu vida?,¿Consideras que tu acosador tomaría represalia contra tu persona si lo denuncias?,¿Cómo esta situación te afectó en tu vida personal?,¿Te encuentras con la fortaleza o el apoyo de realizar la denuncia en la actualidad?,¿Con quien te apoyarías para enfrentar la situación?,¿A qué autoridades acudirías primero para denunciar los hechos?,¿En la actualidad si fueras acosad@ de nuevo te enfrentarías al acosador ?,¿Ayudarias a otras personas a denunciar este tipo de hechos?,¿Compartirías tu experiencia para que otras personas no tengan miedo y puedan exponer a sus acosadores?,¿Consideras que tu entorno no te apoyaria si denuncias este hecho fuera de tiempo?,¿Si existiera una línea de apoyo exclusiva de la universidad para denunciar de forma anónima el acoso lo realizarías?,¿Consideras exponer tu situación ante las autoridades correspondientes?,¿Consideras que se deben aplicar nuevas medidas de protección para denunciar los hechos de acoso dentro de la universidad?,¿Consideras que exponer de forma pública a los acosadores ayudaría a que estos frenen sus actos?,¿A quién lo denunciaste o comentaste?,¿Qué tan efectiva fue la respuesta por parte de esa persona o la universidad?,¿Crees que el reglamento de hostigamiento al estudiante te garantiza que este hecho no vuelva a ocurrir?,¿Qué tan perjudicial ha sido en tu rendimiento académico?,¿Sientes que las autoridades universitarias toman medidas preventivas necesarias para combatir esta problemática dentro del campus? ,¿Te has sentido culpable por la situación de acoso que experimentaste?,¿Aun mantienes contacto con tu agresor?,¿Has recurrido a autolesionarse por este tipo de hechos?,¿A quien lo denunciaste o comentastes? ,¿Qué tan efectiva fue la respuesta por parte de esa persona o la universidad?,¿Sientes que las autoridades universitarias toman medidas preventivas necesarias para combatir esta problemática fuera del campus?,¿Que autoridad externa tomó tu denuncia y te ayudó en el proceso?,¿Qué tan perjudicial ha sido en tu rendimiento académico?,¿Te has sentido culpable por la situación de acoso que experimentaste?,"¿Consideras que los hombres en general son potenciales acosadores sexuales, esto debido al estimulo indicado que podría despertar este?",¿Has recurrido a autolesionarse por este tipo de situación?,¿Has sido testig@ de algún tipo de acoso?,¿Consideras que estabas preparad@ para accionar correctamente en el momento en el que sucedió el hecho? ,¿En que año sucedió este hecho?,¿Qué modalidad fue el acoso que percibiste?,¿Cuántas veces has sido testigo de acoso?,¿Dónde ocurrió este hecho?,¿Cual fue tu reacción ante este hecho?,¿Lo denunciaste o comentaste a otros? ,¿A quién lo denunciaste o comentaste?,¿Qué tan efectiva fue la respuesta por parte de esa persona o la autoridad que tomó tu caso? ,¿Sientes que las autoridades toman medidas preventivas necesarias para combatir esta problemática?,¿Que tan complicado fue el trámite para denunciar la situación de acoso que fuiste testigo?,¿El agraviado tiene algún tipo de afiliación contigo?,¿Has vuelto a ver al agresor luego de la denuncia?,¿Por qué no denunciaste este hecho?,¿Sientes que las autoridades no tomarían cartas en el asunto?,¿Si fuera el agraviado conocid@ tuyo o familiar hubieras denunciado el hecho?,¿Te sentiste amenazad@ por el agresor?,¿Si pudieras denunciar el hecho en la actualidad lo harias?,¿Qué tan comod@ y segur@ te sientes al asistir a la universidad?,¿Qué tan cómod@ y segur@ te sientes al andar en la vía pública?,¿A quién crees que acudirías primero si sufres un caso de acoso dentro del campus?,¿Qué actitud tomarías ante una situación de acoso?,¿Te han advertido sobre los peligros del acoso sexual?,¿Consideras que el taller de acoso sexual brindado por la universidad ha reducido el acoso entre los estudiantes?,¿Consideras que las autoridades y el Estado velan por tu seguridad?,¿A cuántas personas conoces que han sido acosadas?,¿Cuánto crees que es el porcentaje de víctimas de acoso sexual dentro de la universidad?,¿Cuánto crees que es el porcentaje de víctimas de acoso sexual fuera de la universidad?,¿Consideras que es satisfactoria la justicia por mano propia?,¿Consideras que todos los hombres son acosadores en potencia? ,¿Consideras que todos las mujeres son acosadoras en potencia? ,¿Quién crees que es el principal acosador?,¿Consideras que la culpa de acoso es por parte del acosador o acosado?,Exposicion en Vivo,Exposicion en Virtual,Frecuencia,,,,
2022/09/24 9:35:29 p. m. GMT-5,Mujer,21,Heterosexual,Quimica,2,Callao,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,4,Padres de familia,Comunicar a la autoridad competente,Sí,Si,3,2,15,97,Si,No,No,Adultos mayores,Es del acosador,94,71,1,,,,
2022/09/24 9:38:51 p. m. GMT-5,Mujer,19,Heterosexual,Energia,3,Rímac,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2022,Verbal,5,Vía pública,Me abstuve por solicitud del agraviado,Sí,Padre de familia,3,0,2,Persona cercana (familia y amigos),"Talvez, pero no lo reconosco",,,,,,,,,,,,,,,,,,,,,68,91,4,,,,
2022/09/24 9:53:33 p. m. GMT-5,Mujer,18,Heterosexual,Computer Science,4,San juan de Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,3,Padres de familia,Comunicar a la autoridad competente,Sí,Si,4,2,15,70,No,,,Adultos mayores,Es del acosador,74,84,2,,,,
2022/09/24 11:13:12 p. m. GMT-5,Mujer,19,Heterosexual,Bioingenieria,4,Surquillo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Padres de familia,Confrontar,Sí,Si,2,0,8,20,No,No,No,Hombres de mediana edad,Es del acosador,75,99,1,,,,
2022/09/25 12:07:31 a. m. GMT-5,Mujer,18,Heterosexual,Industrial,3,La Molina,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,5,3,Padres de familia,Denuncia ante la ley pública,Sí,Si,2,0,3,10,Si,No,No,Adolescentes hombres,Es del acosador,66,73,2,,,,
2022/09/25 12:27:24 a. m. GMT-5,Mujer,18,Heterosexual,Ambiental,4,La Molina,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Amigo@,Confrontar,Sí,Si,4,2,30,80,Si,No,No,Hombres de mediana edad,Es del acosador,72,86,3,,,,
2022/09/25 12:48:09 a. m. GMT-5,Mujer,20,Heterosexual,Civil,5,Villa El Salvador,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,1,Amigo@,Actitud agresiva,Sí,Si,3,3,15,60,Si,No,No,Hombres de mediana edad,Es del acosador,53,55,2,,,,
2022/09/25 10:04:21 a. m. GMT-5,Mujer,19,Heterosexual,Civil,5,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,3,Amigo@,Me alejo,Sí,No,3,4,15,80,No,No,No,Hombres de mediana edad,Es del acosador,51,66,3,,,,
2022/09/25 11:44:55 a. m. GMT-5,Mujer,18,Heterosexual,Ambiental,3,Los Olivos,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,2,Amigo@,Me alejo,No,Si,0,5,20,90,No,Tal vez,No,Adultos mayores,Es del acosador,59,62,1,,,,
2022/09/25 12:27:04 p. m. GMT-5,Mujer,21,Heterosexual,Mecatrónica,6,Magdalena,No,Si,21,2022,Areas comunes,5,Fisica,Me quede mud@ y no supe como reaccionar,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,Amigo,3,no,4,5,Si,Lo evito todo el tiempo,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,89,2,,,,
2022/09/25 12:51:44 p. m. GMT-5,Mujer,20,Heterosexual,Bioingenieria,6,La Molina,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Amigo@,Confrontar,Sí,Si,3,4,2,40,No,No,No,Hombres de mediana edad,Es del acosador,60,66,1,,,,
2022/09/25 1:01:00 p. m. GMT-5,Mujer,21,Bisexual,Bioingenieria,4,Lince,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,2,Amigo@,Confrontar,Sí,Si,2,0,10,80,Si,Tal vez,No,Hombres de mediana edad,Es del acosador,59,100,2,,,,
2022/09/25 2:01:07 p. m. GMT-5,Mujer,18,Bisexual,Bioingenieria,4,San Miguel,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2021,Verbal,3,Eventos sociales,Me abstuve y mire la escena por temor,Sí,Amig@,2,0,0,Si,No,,,,,,,,,,,,,,,,,,,,,67,63,3,,,,
2022/09/25 6:47:55 p. m. GMT-5,Mujer,18,Heterosexual,Mecatrónica,4,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,4,Padres de familia,Comunicar a la autoridad competente,Sí,Si,2,1,10,60,No,Tal vez,Tal vez,Hombres de mediana edad,Es del acosador,74,92,2,,,,
2022/09/25 7:54:02 p. m. GMT-5,Mujer,22,Heterosexual,Ambiental,8,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,7,1,Autoridad de la universidad,Confrontar,Sí,No,2,5,10,80,Si,Tal vez,No,Hombres de mediana edad,Es del acosador,76,81,1,,,,
2022/09/25 8:18:36 p. m. GMT-5,Mujer,18,Heterosexual,Quimica,4,San Martin Porres,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,2,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,Si,3,3,20,65,No,No,No,Hombres de mediana edad,Es del acosador,96,76,1,,,,
2022/09/25 10:05:18 p. m. GMT-5,Mujer,19,Heterosexual,Mecánica,2,Magdalena,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Padres de familia,Me alejo,Sí,Si,1,1,25,50,No,Tal vez,No,Hombres de mediana edad,Es del acosador,68,67,2,,,,
2022/09/25 10:47:51 p. m. GMT-5,Mujer,18,Heterosexual,Quimica,4,San Juan de Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,4,1,Amigo@,Comunicar a la autoridad competente,Sí,No,1,0,1,2,No,Si,No,Hombres de mediana edad,Es del acosador,57,92,1,,,,
2022/09/26 10:39:26 a. m. GMT-5,Mujer,19,Heterosexual,Bioingenieria,3,Ate,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,4,Padres de familia,Confrontar,Sí,Si,2,3,15,90,Si,No,No,Hombres de mediana edad,Es del acosador,73,65,1,,,,
2022/09/26 10:41:40 a. m. GMT-5,Mujer,19,Heterosexual,Energia,6,Magdalena,Sí,Si,24,2019,En el comedor,2,Verbal,Me frustre y deprimi,No,,,,,,,,,,,Temor a que no te crean.,"Si, considero que tendria valor.",Familiar o conocido de la familia.,No,Transtornos emocionales,No,,,,,,No,No,No tengo confianza que resolverán la problemática,Considero que las medidas actuales son suficientes,Les importa la exposicion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,90,3,,,,
2022/09/26 10:43:09 a. m. GMT-5,Mujer,17,Asexual,Ambiental,3,San Juan de Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,2,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,Si,0,5,10,90,Si,No,No,Hombres de mediana edad,Es del acosador,47,84,2,,,,
2022/09/26 10:50:14 a. m. GMT-5,Mujer,18,Heterosexual,Civil,3,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,7,2,Amigo@,Comunicar a la autoridad competente,Sí,Si,3,3,10,80,Si,Tal vez,Tal vez,Adolescentes hombres,Es del acosador,65,73,2,,,,
2022/09/26 10:59:21 a. m. GMT-5,Mujer,21,Bisexual,Civil,9,La Molina,Sí,Si,19,2020,Transitando en la universidad,2,Verbal,Lo ignore y continúe con mis actividades,No,,,,,,,,,,,Inseguridad por tu integridad.,"Si, considero que tendria valor.",Persona desconocida.,No,Transtornos emocionales,Si,Autoridades Universitarias,Representacion estudiantil,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,89,1,,,,
2022/09/26 11:00:48 a. m. GMT-5,Mujer,19,Heterosexual,Civil,3,Ancon,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Sí,2020,Verbal,1,Vía pública,Intervine en protección de la agraviado retirandolo,Sí,Profesor@,3,3,3,Si,No,,,,,,,,,,,,,,,,,,,,,85,68,3,,,,
2022/09/26 11:03:15 a. m. GMT-5,Mujer,19,Heterosexual,Bioingenieria,3,Ate,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Sí,2019,Fisico,1,Centro comercial,Me abstuve por solicitud del agraviado,Sí,Policia,3,4,2,Persona cercana (familia y amigos),No,,,,,,,,,,,,,,,,,,,,,101,74,2,,,,
2022/09/26 11:04:21 a. m. GMT-5,Mujer,19,Bisexual,Bioingenieria,3,San Juan de Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,3,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,Si,2,3,25,50,No,No,No,Hombres de mediana edad,Es del acosador,73,76,5,,,,
2022/09/26 11:26:20 a. m. GMT-5,Mujer,17,Pansexual,Bioingenieria,2,Santa Anita,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,6,1,Autoridad de la universidad,Ignorar,No,Si,2,4,5,35,No,Tal vez,No,Adultos mayores,Es del acosador,67,83,2,,,,
2022/09/26 12:04:21 p. m. GMT-5,Mujer,22,Heterosexual,Bioingenieria,8,Lince,No,No,,,,,,,,Si,10,2010,En la via publica,5,Física,Me aleje de la situación.,Si,Si,No,Temor a que no te crean.,"Si, considero que tendria valor.",Persona desconocida.,Si,Problemas de inseguridad hacia los hombres,Si,Padres de familia,Policia,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,83,2,,,,
2022/09/26 12:04:43 p. m. GMT-5,Mujer,20,Heterosexual,Bioingenieria,3,Lurigancho,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,7,2,Amigo@,Confrontar,Sí,Si,3,4,15,70,Si,No,No,Hombres de mediana edad,Es del acosador,53,94,1,,,,
2022/09/26 12:07:59 p. m. GMT-5,Mujer,17,Heterosexual,Civil,1,Chorrillos,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,6,2,Padres de familia,Comunicar a la autoridad competente,Sí,Si,2,4,12,98,No,No,No,Hombres de mediana edad,Es del acosador,82,76,1,,,,
2022/09/26 12:10:54 p. m. GMT-5,Mujer,18,Heterosexual,Industrial,3,Ate,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Padres de familia,Confrontar,Sí,Si,4,1,30,80,Si,Tal vez,No,Hombres de mediana edad,Es del acosador,76,90,1,,,,
2022/09/26 12:29:37 p. m. GMT-5,Mujer,19,Heterosexual,Ambiental,3,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2018,Verbal,2,Vía pública,Me abstuve y mire la escena por temor,No,,,,,,,No conozco a la persona,No,Si,No,Si,,,,,,,,,,,,,,,,74,87,1,,,,
2022/09/26 12:41:10 p. m. GMT-5,Mujer,18,Bisexual,Administración y Negocios Digitales,1,San Martin Porres,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,4,Amigo@,Comunicar a la autoridad competente,Sí,No,2,1,30,60,No,No,No,Hombres de mediana edad,Es del acosador,55,94,1,,,,
2022/09/26 12:41:58 p. m. GMT-5,Mujer,18,Bisexual,Mecatrónica,2,San Borja,No,Si,17,2022,Areas comunes,1,Verbal,Me aleje de la situacion,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,Amigo,2,no,2,1,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,73,2,,,,
2022/09/26 12:42:22 p. m. GMT-5,Mujer,17,Pansexual,Mecatrónica,2,Ate,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2022,Verbal,3,Universidad,Intervine en protección de la agraviado retirandolo,Sí,Amig@,2,1,2,Persona cercana (familia y amigos),"Talvez, pero no lo reconosco",,,,,,,,,,,,,,,,,,,,,52,62,1,,,,
2022/09/26 12:44:02 p. m. GMT-5,Mujer,19,Heterosexual,Administración y Negocios Digitales,1,Viilla Maria del Triunfo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,1,Autoridad de la universidad,Denuncia ante la ley pública,Sí,No,3,4,10,85,Si,Tal vez,Tal vez,Adultos mayores,Es del acosador,53,55,1,,,,
2022/09/26 12:44:16 p. m. GMT-5,Mujer,21,Heterosexual,Bioingenieria,7,Chorrillos,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,2,Amigo@,Me alejo,Sí,No,2,0,10,60,No,Tal vez,No,Adultos mayores,Es del acosador,65,72,1,,,,
2022/09/26 12:44:54 p. m. GMT-5,Mujer,18,Heterosexual,Administración y Negocios Digitales,1,Santa Anita,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Sí,2022,Psicológico,5,Vía pública,Detuve al agresor y pedi ayuda al publico,Sí,Policia,3,2,3,No,No,,,,,,,,,,,,,,,,,,,,,34,92,3,,,,
2022/09/26 12:46:44 p. m. GMT-5,Mujer,17,Heterosexual,Administración y Negocios Digitales,1,Rímac,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,4,Psicólog@,Denuncia ante la ley pública,Sí,Si,3,2,75,80,No,Si,Si,Adolescentes hombres,Es del acosador,42,79,3,,,,
2022/09/26 12:47:16 p. m. GMT-5,Mujer,20,Heterosexual,Industrial,4,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,4,Familiares de confianza,Confrontar,Sí,Si,3,1,70,90,Si,Tal vez,No,Adultos mayores,Es del acosador,52,60,2,,,,
2022/09/26 12:49:03 p. m. GMT-5,Mujer,18,Heterosexual,Industrial,4,Lince,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,3,Familiares de confianza,Me alejo,Sí,Si,3,0,10,15,No,No,No,Hombres de mediana edad,Es del acosador,77,100,1,,,,
2022/09/26 12:51:55 p. m. GMT-5,Mujer,18,Heterosexual,Industrial,3,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Sí,2015,Verbal,2,Vía pública,Pedí ayuda al público para que intervenga por seguridad propia,No,,,,,,,Temor a represaría,Si,No,SI,Si,,,,,,,,,,,,,,,,72,60,1,,,,
2022/09/26 12:58:41 p. m. GMT-5,Mujer,17,Heterosexual,Industrial,7,Magdalena,Sí,No,,,,,,,,Si,14,2011,Camino desolado,4,Verbal,Pedí ayuda.,No,Ya venía acosándome,Sí,,,,,,,,,,,,,,,,,,,,,,,,,Amig@,4,5,La Defensoría del Niño y del Adolescente (DNA),7,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,64,4,,,,
2022/09/26 1:41:37 p. m. GMT-5,Mujer,19,Heterosexual,Industrial,3,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2022,Psicológico,2,Vía pública,Pedí ayuda al público para que intervenga por seguridad propia,Sí,"Defensoría Municipal del Niño, Niña y Adolescente  (DEMUNA)",3,3,4,No,No,,,,,,,,,,,,,,,,,,,,,87,78,2,,,,
2022/09/26 1:44:24 p. m. GMT-5,Mujer,17,Heterosexual,Civil,1,Viilla Maria del Triunfo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,4,Familiares de confianza,Confrontar,Sí,Si,5,0,5,10,No,Tal vez,Tal vez,Hombres de mediana edad,Es del acosador,99,67,2,,,,
2022/09/26 1:46:40 p. m. GMT-5,Mujer,18,Heterosexual,Civil,1,San juan de Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,6,4,Padres de familia,Confrontar,Sí,Si,3,2,10,30,No,Tal vez,Tal vez,Hombres de mediana edad,Es del acosador,64,86,3,,,,
2022/09/26 1:52:23 p. m. GMT-5,Mujer,18,Heterosexual,Computer Science,3,Viilla Maria del Triunfo,No,No,,,,,,,,Si,18,2022,Transporte publico o privado,3,Verbal,Pedí ayuda.,No,Si,Sí,,,,,,,,,,,,,,,,,,,,,,,,,Padres de familia,4,1,Policia,7,Sí,No,Prefiero no decirlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,64,3,,,,
2022/09/26 1:53:09 p. m. GMT-5,Mujer,19,Heterosexual,Computer Science,3,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,4,Psicólog@,Comunicar a la autoridad competente,Sí,Si,4,5,10,40,No,No,No,Hombres de mediana edad,Es del acosador,58,85,1,,,,
2022/09/26 1:57:59 p. m. GMT-5,Mujer,17,Heterosexual,Energia,1,San Miguel,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,3,Padres de familia,Confrontar,Sí,Si,3,1,40,90,No,No,No,Hombres de mediana edad,Es del acosador,94,80,4,,,,
2022/09/26 2:00:35 p. m. GMT-5,Mujer,19,Heterosexual,Ambiental,3,Lince,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,7,3,Familiares de confianza,Comunicar a la autoridad competente,Sí,Si,3,3,10,70,No,No,No,Hombres de mediana edad,Es del acosador,69,100,7,,,,
2022/09/26 2:02:35 p. m. GMT-5,Mujer,19,Heterosexual,Civil,6,Chorrillos,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,4,Padres de familia,Comunicar a la autoridad competente,Sí,Si,2,1,8,30,Si,No,No,Hombres de mediana edad,Es del acosador,70,84,4,,,,
2022/09/26 2:04:00 p. m. GMT-5,Mujer,18,Heterosexual,Quimica,4,Puente Piedra,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,4,Amigo@,Comunicar a la autoridad competente,Sí,Si,4,0,5,30,No,No,No,Adultos mayores,Es del acosador,83,90,6,,,,
2022/09/26 2:08:02 p. m. GMT-5,Mujer,19,Heterosexual,Bioingenieria,3,San Juan de Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2021,Psicológico,0,Vía pública,Me abstuve y mire la escena por temor,No,,,,,,,No conozco a la persona,Si,Si,No,No,,,,,,,,,,,,,,,,70,67,4,,,,
2022/09/26 2:08:41 p. m. GMT-5,Mujer,20,Heterosexual,Civil,8,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2021,Psicológico,1,Fiestas,Me abstuve y mire la escena por temor,No,,,,,,,No conozco a la persona,Si,Si,No,Si,,,,,,,,,,,,,,,,70,78,2,,,,
2022/09/26 2:09:03 p. m. GMT-5,Mujer,18,Heterosexual,Quimica,3,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2022,Verbal,4,Vía pública,Me abstuve y mire la escena por temor,Sí,Padre de familia,3,3,1,No,"Talvez, pero no lo reconosco",,,,,,,,,,,,,,,,,,,,,70,67,1,,,,
2022/09/26 2:09:32 p. m. GMT-5,Mujer,20,Heterosexual,Quimica,8,San Miguel,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,4,Autoridad de la universidad,Confrontar,No,No,5,1,30,32,Si,No,No,Adultos mayores,Es del acosador,57,100,3,,,,
